編號,單位,行政區,地址,備註
1,良陽國際有限公司,士林區,臺北市士林區士東路250號,檢驗站
2,駿輝機車行,士林區,臺北市士林區大南路295號,檢驗站
3,永景機車材料行,士林區,臺北市士林區中山北路6段405巷79號,檢驗站
4,新天母機車行,士林區,臺北市士林區中山北路6段405巷83號,檢驗站
5,北大機車材料行,士林區,臺北市士林區中正路411、413號,檢驗站
6,巨揚機車行,士林區,臺北市士林區中正路605號,檢驗站
7,社子清潔分隊(葫蘆),士林區,臺北市士林區中正路臨707-1號(重陽橋下),清潔隊
8,好發達車業,士林區,臺北市士林區天母東路8巷99號,檢驗站
9,銘豐機車行,士林區,臺北市士林區文林路314號,檢驗站
10,文昌國小地下停車場,士林區,臺北市士林區文林路615巷20號地下,校園地下停車場
11,富偉機車行,士林區,臺北市士林區文林路679號,檢驗站
12,勝瀧車業行,士林區,臺北市士林區文林路687號1樓,車行
13,瑞展機車商行,士林區,臺北市士林區文林路752號,車行
14,卉茂實業有限公司,士林區,臺北市士林區文林路764號,檢驗站
15,新鎰昌機車行,士林區,臺北市士林區至誠路1段2-6號,檢驗站
16,金晉車業行,士林區,臺北市士林區延平北路5段111號,車行
17,台益機車有限公司,士林區,臺北市士林區延平北路5段129號,檢驗站
18,原益車業行,士林區,臺北市士林區延平北路5段14號,檢驗站
19,力泰車業有限公司,士林區,臺北市士林區延平北路5段220號,檢驗站
20,日輝車業有限公司,士林區,臺北市士林區延平北路5段41號1樓,檢驗站
21,嘉盛車業行,士林區,臺北市士林區延平北路6段139號,檢驗站
22,社子國小地下停車場,士林區,臺北市士林區延平北路6段308號地下,校園地下停車場
23,福安里辦公室,士林區,臺北市士林區延平北路7段107巷10號,里辦公室
24,協億機車行,士林區,臺北市士林區延平北路8段175號,車行
25,中華汽車社子服務廠,士林區,臺北市士林區延平北路六段434號,中華汽車服務廠
26,晴華機械輪業有限公司,士林區,臺北市士林區承德路4段364號,檢驗站
27,文發機車行,士林區,臺北市士林區社中街462號,車行
28,捷運淡水線芝山站,士林區,臺北市士林區芝山站出入口機車停車場,捷運站
29,名山里貓頭鷹之家,士林區,臺北市士林區雨聲街68號,里辦公室
30,德龍車業行,士林區,臺北市士林區故宮路41巷1號,檢驗站
31,福元機車有限公司,士林區,臺北市士林區重慶北路4段232號,檢驗站
32,益隆車業有限公司,士林區,臺北市士林區重慶北路4段244號,檢驗站
33,草山清潔分隊,士林區,臺北市士林區格致路34號,清潔隊
34,台北市立天文科學教育館,士林區,臺北市士林區基河路363號,其他
35,進?車業行,士林區,臺北市士林區通河東街1段198號1樓,檢驗站
36,盟業車業行,士林區,臺北市士林區通河街169號,檢驗站
37,永生車業有限公司,士林區,臺北市士林區華齡街71號,檢驗站
38,嘉榮機車行,士林區,臺北市士林區福港街268號,車行
39,捷運淡水線劍潭站,士林區,臺北市士林區劍潭站出入口機車停車場,捷運站
40,正大機車行,士林區,臺北市士林區德行東路206號,車行
41,誠鎰車業行,士林區,臺北市士林區德行東路23號,檢驗站
42,甲翊機車行,大同區,臺北市大同區大龍街230號,車行
43,順源機車行,大同區,臺北市大同區民生西路177號,車行
44,建成清潔分隊,大同區,臺北市大同區民權西路194之1號,清潔隊
45,忠億車業有限公司,大同區,臺北市大同區西寧北路17-4號,檢驗站
46,弘展機車有限公司,大同區,臺北市大同區西寧北路93號,檢驗站
47,順旺車業有限公司,大同區,臺北市大同區延平北路1段24號,檢驗站
48,加祥車業有限公司,大同區,臺北市大同區延平北路2段256號,檢驗站
49,新協大車業有限公司,大同區,臺北市大同區延平北路3段67-1號,檢驗站
50,大華車業有限公司,大同區,臺北市大同區承德路1段47號,檢驗站
51,小緯機車行,大同區,臺北市大同區承德路2段149號,檢驗站
52,長豐車業行,大同區,臺北市大同區承德路3段160號,檢驗站
53,弘達車業有限公司,大同區,臺北市大同區承德路3段162號,檢驗站
54,大龍清潔分隊,大同區,臺北市大同區承德路3段303之1號(承德橋下),清潔隊
55,國真車業有限公司,大同區,臺北市大同區承德路3段312號,車行
56,益福車業行,大同區,臺北市大同區昌吉街36號,車行
57,瑞明機車行,大同區,臺北市大同區長安西路199號,檢驗站
58,車皇機車有限公司,大同區,臺北市大同區哈密街63巷1號,檢驗站
59,吉財機車行,大同區,臺北市大同區哈密街83號,檢驗站
60,良星車業有限公司,大同區,臺北市大同區重慶北路2段39號,檢驗站
61,家樂福重慶店,大同區,臺北市大同區重慶北路二段171號,大賣場
62,進益機車行,大同區,臺北市大同區庫倫街31號,車行
63,旭盛機車,大同區,臺北市大同區酒泉街211號,車行
64,立偉成車業行,大同區,臺北市大同區寧夏路127號,車行
65,直屬夜勤清潔分隊,大同區,臺北市大同區鄭州路臨50號,清潔隊
66,翊翔機車行,大同區,臺北市大同區錦西街53巷2號,檢驗站
67,磬葉企業有限公司,大同區,臺北市大同區錦西街56號,檢驗站
68,雄偉機車行,大同區,臺北市大同區環河北路1段335號,車行
69,延平清潔分隊,大同區,臺北市大同區環河北路1段臨63-1號,清潔隊
70,樺新車業行,大同區,臺北市大安區市民大道4段64號,檢驗站
71,金理車業有限公司,大安區,臺北市大安區八德路2段35號,檢驗站
72,萬聯車業行,大安區,臺北市大安區市民大道4段22號,檢驗站
73,盛昌機車行,大安區,臺北市大安區辛亥路1段58號,檢驗站
74,台大清潔分隊,大安區,臺北市大安區辛亥路1段臨138號,清潔隊
75,和平清潔分隊,大安區,臺北市大安區辛亥路1段臨143號,清潔隊
76,宏立機車事業有限公司,大安區,臺北市大安區和平東路2段141號,檢驗站
77,福全車業,大安區,臺北市大安區和平東路3段228巷88號,車行
78,車王二輪社,大安區,臺北市大安區延吉街64-1號,檢驗站
79,敦化清潔分隊,大安區,臺北市大安區忠孝東路3段31號(建國北路橋孔下),清潔隊
80,致盛機車行,大安區,臺北市大安區金華街118-4號,檢驗站
81,新生清潔分隊,大安區,臺北市大安區建國南路1段臨173號,清潔隊
82,典輪機車行,大安區,臺北市大安區建國南路2段161號,檢驗站
83,龍門國中地下停車場,大安區,臺北市大安區建國南路2段269號地下停車場,校園地下停車場
84,大安森林公園地下停車場,大安區,臺北市大安區建國南路2段2號地下停車場,公有停車場
85,小林機車行,大安區,臺北市大安區建國南路2段79巷3號,檢驗站
86,瑞安清潔分隊,大安區,臺北市大安區建國南路2段臨263號,清潔隊
87,東貿機車有限公司,大安區,臺北市大安區基隆路2段233號,檢驗站
88,臥龍清潔分隊,大安區,臺北市大安區基隆路3段臨24號,清潔隊
89,信全車業有限公司,大安區,臺北市大安區通化街168號,檢驗站
90,迅誠機車行,大安區,臺北市大安區通化街171巷11號,檢驗站
91,福元車業行,大安區,臺北市大安區富陽街2號,車行
92,立暉機車行,大安區,臺北市大安區新生南路2段82-1號,檢驗站
93,建維機車行,大安區,臺北市大安區潮州街86號,檢驗站
94,鎰揚企業有限公司,大安區,臺北市大安區羅斯福路3段93號,檢驗站
95,捷運木柵線麟光站,大安區,臺北市大安區麟光站出入口機車停車場,捷運站
96,易昌機車行,中山區,臺北市中山區八德路2段329號,檢驗站
97,材洋車業,中山區,臺北市中山區八德路2段61號,車行
98,運輪機車行,中山區,臺北市中山區八德路2段88巷20號,檢驗站
99,正良機車有限公司,中山區,臺北市中山區八德路二段70號,車行
